TC ID,Objective,Test Steps,Expected Result,Actual Result
TC ID - 060,Check whether the BraceLink project is displayed correctly in the Project Explorer.,"1. Navigate to the Smart Automation Code section.
2. Open the Smart Code Generator page.
3. Locate the Project Explorer section.
4. Check the root project displayed in the explorer.
5. Verify the available folders under the BraceLink project.","1. Smart Automation Code section should open successfully.
2. Smart Code Generator page should load correctly.
3. Project Explorer should be displayed.
4. BraceLink project should be shown correctly.
5. Available project folders should be displayed properly.",
TC ID - 061,Check whether selecting a configuration file displays its content in the code area.,"1. Navigate to the Smart Code Generator page.
2. Expand the Configuration folder.
3. Select an available JSON configuration file.
4. Wait for the selected file to open.
5. Check the content shown in the code area.","1. Smart Code Generator page should open successfully.
2. Configuration folder should expand correctly.
3. The selected JSON file should open successfully.
4. File content should load without errors.
5. The correct content should be displayed in the code area.",
TC ID - 062,Check whether selecting different files updates the displayed file content.,"1. Navigate to the Smart Code Generator page.
2. Select a file from Project Explorer.
3. Check the content displayed in the code area.
4. Select another available file.
5. Check the updated content in the code area.","1. Smart Code Generator page should open successfully.
2. The first file should be selected successfully.
3. Its related content should be displayed.
4. Another file should open successfully.
5. The code area should update with the selected file content.",
TC ID - 063,Check whether a generated C# file can be selected and its content displayed.,"1. Navigate to the Smart Code Generator page.
2. Expand the RunTimeGenerated folder.
3. Select an available .cs file.
4. Wait for the file to load in the code area.
5. Check the displayed source code.","1. Smart Code Generator page should open successfully.
2. RunTimeGenerated folder should expand correctly.
3. The selected C# file should open successfully.
4. File content should load correctly.
5. The correct source code should be displayed.",
TC ID - 064,Check whether Project Explorer folders can be collapsed correctly.,"1. Navigate to the Smart Code Generator page.
2. Expand a folder in Project Explorer.
3. Verify the files inside the folder.
4. Collapse the same folder.
5. Check the Project Explorer after collapsing.","1. Smart Code Generator page should open successfully.
2. The selected folder should expand successfully.
3. Files inside the folder should be visible.
4. The folder should collapse successfully.
5. The files should be hidden after collapsing.",
TC ID - 065,Check whether the Select All checkbox selects all MES mapping records.,"1. Navigate to MES Mapping and open Smart Mapping.
2. Select a category with multiple mapping records.
3. Locate the checkbox in the table header.
4. Click the Select All checkbox.
5. Check the selection status of all records.","1. Smart Mapping page should open successfully.
2. Mapping records should be displayed.
3. Header checkbox should be available.
4. Select All action should work successfully.
5. All displayed mapping records should be selected.",
TC ID - 066,Check whether the Select All checkbox can deselect all MES mapping records.,"1. Navigate to the Smart Mapping page.
2. Select all mapping records using the header checkbox.
3. Verify that all records are selected.
4. Click the header checkbox again.
5. Check the selection status of all records.","1. Smart Mapping page should open successfully.
2. All records should be selected successfully.
3. Selected status should be shown for each record.
4. The checkbox should clear the selection.
5. All mapping records should be deselected.",
TC ID - 067,Check whether all MES mapping columns can be viewed using horizontal scrolling.,"1. Navigate to the Smart Mapping page.
2. Select a category with multiple mapping columns.
3. Locate the horizontal scrollbar below the table.
4. Scroll the table from left to right.
5. Check the hidden columns and their data.","1. Smart Mapping page should open successfully.
2. Mapping table should display the available records.
3. Horizontal scrollbar should be available when needed.
4. The table should scroll smoothly.
5. All columns and mapping data should be visible correctly.",
TC ID - 068,Check whether the Tool Characterization Testing page displays the connection fields correctly.,"1. Navigate to the Tool Characterization Testing section.
2. Wait for the page to load completely.
3. Check the IP Address field.
4. Check the Port and Device ID fields.
5. Check the Connect button.","1. Tool Characterization Testing section should open successfully.
2. The page should load correctly.
3. IP Address field should be displayed.
4. Port and Device ID fields should be displayed.
5. Connect button should be visible and accessible.",
TC ID - 069,"Check whether the user can enter and modify the IP Address, Port, and Device ID.","1. Navigate to Tool Characterization Testing.
2. Enter a valid value in the IP Address field.
3. Enter valid Port and Device ID values.
4. Modify the entered values.
5. Check whether the updated values are retained.","1. Tool Characterization Testing page should open successfully.
2. IP Address field should accept valid input.
3. Port and Device ID fields should accept valid values.
4. Entered values should be editable.
5. Updated values should be displayed correctly.",
TC ID - 070,Check whether the Connect button initiates equipment connection using the entered details.,"1. Navigate to Tool Characterization Testing.
2. Enter valid IP Address details.
3. Enter valid Port and Device ID values.
4. Click the Connect button.
5. Check the connection response displayed by the application.","1. Tool Characterization Testing page should open successfully.
2. IP Address should accept the entered value.
3. Port and Device ID should accept valid values.
4. Connection process should be initiated.
5. Appropriate connection status should be displayed.",
TC ID - 071,Check whether the SML Files dropdown displays the available SML files.,"1. Navigate to Tool Characterization Testing.
2. Locate the SML Files dropdown.
3. Click the dropdown.
4. Check the available SML files.
5. Verify that an SML file can be selected.","1. Tool Characterization Testing page should open successfully.
2. SML Files dropdown should be displayed.
3. The dropdown should open successfully.
4. Available SML files should be listed.
5. An available SML file should be selectable.",
TC ID - 072,Check whether selecting an SML file updates the selected file value.,"1. Navigate to Tool Characterization Testing.
2. Open the SML Files dropdown.
3. Select an available SML file.
4. Check the selected value in the field.
5. Verify the displayed file name.","1. Tool Characterization Testing page should open successfully.
2. SML Files dropdown should open correctly.
3. The selected SML file should be accepted.
4. The selected value should update successfully.
5. The correct file name should be displayed.",
TC ID - 073,Check whether the selected SML file remains associated with the test execution.,"1. Navigate to Tool Characterization Testing.
2. Configure the required connection details.
3. Select an available SML file.
4. Start the test execution.
5. Check the selected SML file during execution.","1. Tool Characterization Testing page should open successfully.
2. Required connection details should be configured.
3. The SML file should be selected successfully.
4. Test execution should start successfully.
5. The selected SML file should remain associated with the test.",
TC ID - 074,Check whether the execution status changes when a test starts.,"1. Navigate to Tool Characterization Testing.
2. Complete the required test configuration.
3. Check the initial execution status.
4. Click the Start button.
5. Observe the execution status after starting","1. Tool Characterization Testing page should open successfully.
2. Required details should be configured correctly.
3. Initial execution status should be displayed.
4. Test execution should start successfully.
5. Execution status should update according to the test state.",
TC ID - 075,Check whether mandatory project fields are validated when creating a new project.,"1. Navigate to WorkSpace and open Project Info.
2. Click the Add Project option.
3. Leave the required project fields empty.
4. Try to save the project details.
5. Check the validation message displayed.","1. Project Info page should open successfully.
2. Add Project form should be displayed.
3. Required fields should remain empty for validation.
4. The project should not be saved.
5. Appropriate validation messages should be displayed.",
TC ID - 076,Check whether a duplicate project name is handled correctly.,"1. Navigate to WorkSpace and open Project Info.
2. Click the Add Project option.
3. Enter the name of an existing project.
4. Enter valid details in the remaining required fields.
5. Try to save the project.","1. Project Info page should open successfully.
2. Add Project form should be displayed.
3. Duplicate project name should be accepted for validation.
4. Other required details should be entered successfully.
5. Duplicate project should be prevented or a validation message should appear.",
TC ID - 077,Check whether project details remain unchanged when editing is cancelled.,"1. Navigate to WorkSpace and open Project Info.
2. Select an existing project for editing.
3. Modify one or more project details.
4. Cancel or close the edit without saving.
5. Check the project details again.","1. Project Info page should open successfully.
2. Selected project should open in edit mode.
3. Project details should allow modification.
4. Unsaved changes should be cancelled.
5. Original project details should remain unchanged.",
TC ID - 078,Check whether updated project information remains after navigation.,"1. Navigate to WorkSpace and open Project Info.
2. Edit the required project information.
3. Save the updated project details.
4. Navigate to another section and return to Project Info.
5. Check the saved project information.","1. Project Info page should open successfully.
2. Project details should be editable.
3. Updated information should save successfully.
4. Navigation between sections should work correctly.
5. Saved project information should remain unchanged.",
TC ID - 079,Check whether project names with leading or trailing spaces are handled correctly.,"1. Navigate to Project Info and select Add Project.
2. Enter a project name with leading or trailing spaces.
3. Enter valid values in the remaining fields.
4. Save the project details.
5. Check the project name displayed in the application.","1. Add Project form should open successfully.
2. Project name should be validated correctly.
3. Other required details should be accepted.
4. Project should follow the defined validation rules.
5. Project name should be displayed according to the application rules.",
TC ID - 080,Check whether uploading is prevented when no file is selected.,"1. Navigate to WorkSpace and open Upload Document.
2. Select a valid document type.
3. Do not select any file.
4. Try to click the Upload option.
5. Check the application response.","1. Upload Document page should open successfully.
2. Document type should be selectable.
3. No file should be shown as selected.
4. Upload should be prevented without a file.
5. Appropriate validation should be displayed.",
TC ID - 081,Check whether a document type is required before uploading a file.,"1. Click on WorkSpace and open Upload Document.
2. Leave the document type unselected.
3. Browse and select a valid file.
4. Try to upload the selected file.
5. Check the validation message.","1. Upload Document page should open successfully.
2. Document type should remain unselected.
3. The selected file should be displayed.
4. Upload should be prevented without a document type.
5. Appropriate validation should be displayed.",
TC ID - 082,Check whether the selected file name is displayed before uploading.,"1. Click on WorkSpace and open Upload Document.
2. Select the required document type.
3. Click on the Browse option.
4. Select a valid document from the system.
5. Check the selected file name in the upload area.","1. Upload Document page should open successfully.
2. Document type should be selected successfully.
3. File browser should open successfully.
4. Selected file should be accepted.
5. The correct file name should be displayed.",
TC ID - 083,Check whether uploading the same document again is handled correctly.,"1. Click on Upload Document for the selected project.
2. Select the required document type.
3. Upload a valid document successfully.
4. Select the same document again for upload.
5. Check the result of the second upload.","1. Upload Document page should open successfully.
2. Required document type should be selected.
3. First document upload should complete successfully.
4. Duplicate file should be checked by the application.
5. Duplicate upload should be handled according to the application rules.",
TC ID - 084,Check whether document action buttons work on the correct document row.,"1. Click on Upload Document with multiple documents.
2. Locate the Action column.
3. Select an action for one specific document.
4. Check which document is processed.
5. Return to the document list and verify the selected row.","1. Multiple documents should be displayed.
2. Action controls should be available for each document.
3. Selected action should be triggered successfully.
4. Only the selected document should be processed.
5. The correct document should remain associated with the action.",
TC ID - 085,Check whether deleting a document removes only the selected document,"1. Click on Upload Document with multiple documents.
2. Identify the document to be deleted.
3. Click on the Delete action for that document.
4. Confirm the deletion if confirmation is displayed.
5. Check the updated document list.","1. Multiple documents should be displayed correctly.
2. Each document should be identifiable separately.
3. Delete action should apply to the selected document.
4. Selected document should be deleted successfully.
5. Other documents should remain unchanged in the list.",
TC ID - 086,Check whether the Data Variables tab displays its corresponding records.,"1. Click on the Extraction page.
2. Select a document with extraction information.
3. Click on the Data Variables tab.
4. Review the records displayed in the table.
5. Verify that the records belong to Data Variables.","1. Extraction page should open successfully.
2. Selected document should load successfully.
3. Data Variables tab should open correctly.
4. Data Variable records should be displayed.
5. Displayed records should match the selected tab.",
TC ID - 087,Check whether the Events tab displays event records correctly.,"1. Click on the Extraction page.
2. Select a document containing event information.
3. Click on the Events tab.
4. Review the event records displayed.
5. Switch to another tab and return to Events.","1. Extraction page should open successfully.
2. Selected document should load correctly.
3. Events tab should open successfully.
4. Event records should be displayed correctly.
5. Correct event records should remain available when returning to the tab.",
TC ID - 088,Check whether the States tab displays state information correctly.,"1. Click on WorkSpace and open Extraction.
2. Select a document containing state information.
3. Click on the States tab.
4. Review the displayed state records.
5. Verify the data against the selected document.","1. Extraction page should open successfully.
2. Selected document should load successfully.
3. States tab should open correctly.
4. State records should be displayed.
5. Displayed state information should match the selected document.",
TC ID - 089,Check whether the Reports tab displays report-related information correctly.,"1. Click on WorkSpace and open Extraction.
2. Select a document with extraction information.
3. Click on the Reports tab.
4. Review the report information displayed.
5. Check that the information belongs to the selected document.","1. Extraction page should open successfully.
2. Selected document should load correctly.
3. Reports tab should open successfully.
4. Available report information should be displayed.
5. Report information should match the selected document.",
TC ID - 090,Check whether changing extraction tabs preserves the selected document.,"1. Click on Extraction and select a document.
2. Check the selected document name.
3. Click on the Status Variables tab.
4. Switch between different extraction tabs.
5. Check the selected document after switching tabs.","1. Extraction page should open successfully.
2. Document should be selected successfully.
3. Status Variables tab should display correctly.
4. Other extraction tabs should open successfully.
5. The selected document should remain unchanged.",
TC ID - 091,Check whether changing the selected SML file updates the displayed SML content.,"1. Click on WorkSpace and open SML Definitions.
2. Select an available SML file.
3. Check the displayed SML content.
4. Select another available SML file.
5. Compare the displayed content.","1. SML Definitions page should open successfully.
2. First SML file should be selected successfully.
3. Its related content should be displayed.
4. Second SML file should open successfully.
5. Displayed content should update to the selected file.",
TC ID - 092,Check whether uploading an SML file without selecting a file is prevented.,"1. Click on the SML Definitions page.
2. Locate the Upload option.
3. Do not select any SML file.
4. Try to perform the upload.
5. Check the application response.","1. SML Definitions page should open successfully.
2. Upload option should be available.
3. No file should be selected.
4. Empty upload should be prevented.
5. Appropriate validation should be displayed.",
TC ID - 093,Check whether connection is prevented when required connection fields are empty.,"1. Click on Tool Characterization Testing.
2. Leave the IP Address field empty.
3. Leave Port or Device ID fields empty.
4. Click on the Connect button.
5. Check the application response.","1. Tool Characterization Testing page should open successfully.
2. Empty IP Address should be detected.
3. Missing connection details should be detected.
4. Connection should be prevented.
5. Appropriate validation should be displayed.",
TC ID - 094,Check whether an invalid IP Address is handled correctly during connection.,"1. Click on Tool Characterization Testing.
2. Enter an invalid IP Address.
3. Enter valid Port and Device ID values.
4. Click on the Connect button.
5. Check the connection result.","1. Tool Characterization Testing page should open successfully.
2. Invalid IP Address should be detected or rejected.
3. Other fields should accept valid values.
4. Invalid connection should not complete successfully.
5. Appropriate error or validation should be displayed.",
TC ID - 095,Check whether test execution is prevented when equipment connection is unavailable.,"1. Click on Tool Characterization Testing.
2. Do not establish a valid equipment connection.
3. Select an available SML file.
4. Try to start the test execution.
5. Check the execution response.","1. Tool Characterization Testing page should open successfully.
2. Connection should remain unavailable.
3. SML file should be selectable.
4. Test execution should be prevented or handled safely.
5. Appropriate connection or execution status should be displayed.",
TC ID - 096,Check whether the Test Suite Explorer displays the available test categories.,"1. Click on Tool Characterization Testing.
2. Locate the Test Suite Explorer.
3. Review the available test categories.
4. Select and expand one of the categories.
5. Check the test cases displayed under the category.","1. Tool Characterization Testing page should open successfully.
2. Test Suite Explorer should be displayed.
3. Available test categories should be visible.
4. Selected category should expand successfully.
5. Related test cases should be displayed correctly.",
TC ID - 097,Check whether a test suite category can be expanded and collapsed correctly.,"1. Click on Tool Characterization Testing.
2. Select an available test suite category.
3. Expand the selected category.
4. Verify the displayed test cases.
5. Collapse the category again.","1. Tool Characterization Testing page should open successfully.
2. Test suite category should be displayed.
3. Selected category should expand successfully.
4. Related test cases should be visible.
5. Category should collapse and hide its test cases.",
TC ID - 098,Check whether selecting a test case updates the Current Test Detail section.,"1. Click on Tool Characterization Testing.
2. Locate the Test Suite Explorer.
3. Select an available test case.
4. Check the Current Test Detail section.
5. Select another test case and compare the details.","1. Tool Characterization Testing page should open successfully.
2. Test Suite Explorer should be displayed.
3. Selected test case should be highlighted.
4. Current Test Detail should show the selected test information.
5. Details should update when another test is selected.",
TC ID - 099,Check whether selecting a test case updates the Execution Flow section.,"1. Click on Tool Characterization Testing.
2. Select a test case from Test Suite Explorer.
3. Locate the Execution Flow section.
4. Review the steps displayed for the selected test.
5. Select another test case and check the flow.","1. Tool Characterization Testing page should open successfully.
2. Test case should be selected successfully.
3. Execution Flow section should be displayed.
4. Flow should match the selected test case.
5. Execution Flow should update for the newly selected test.",
TC ID - 100,Check whether the Test Results section displays the result for the selected test.,"1. Click on Tool Characterization Testing with test results available.
2. Select a test case from Test Suite Explorer.
3. Locate the Test Results section.
4. Review the displayed result information.
5. Compare the result with the selected test case.","1. Tool Characterization Testing page should open successfully.
2. Selected test case should be displayed correctly.
3. Test Results section should be available.
4. Result information should be displayed.
5. Displayed result should match the selected test case.",
TC ID - 101,Check whether changing the MES Family updates the available mapping information.,"1. Click on MES Mapping and open Smart Mapping.
2. Check the currently selected MES Family.
3. Select another available MES Family.
4. Wait for the mapping information to refresh.
5. Check the updated mapping records.","1. Smart Mapping page should open successfully.
2. Current MES Family should be displayed.
3. Another MES Family should be selectable.
4. Mapping information should refresh successfully.
5. Records should match the newly selected MES Family.",
TC ID - 102,Check whether changing the Template updates the mapping records.,"1. Click on MES Mapping and open Smart Mapping.
2. Check the currently selected Template.
3. Select another available Template.
4. Wait for the mapping table to refresh.
5. Check the displayed mapping records.","1. Smart Mapping page should open successfully.
2. Current Template should be displayed.
3. Another Template should be selectable.
4. Mapping table should refresh successfully.
5. Records should match the selected Template.",
TC ID - 103,Check whether mapping records remain correctly associated after Auto Map.,"1. Click on MES Mapping and open Smart Mapping.
2. Select the required MES Family and Template.
3. Review the existing mapping values.
4. Click on the Auto Map option.
5. Check the mapping records after the process completes.","1. Smart Mapping page should open successfully.
2. MES Family and Template should be selected successfully.
3. Existing mapping values should be displayed.
4. Auto Map should complete successfully.
5. Mapping records should remain correctly associated with their values.",
TC ID - 104,Check whether selecting different file types displays the correct content in Smart Code Generator.,"1. Click on Smart Automation Code.
2. Expand the Configuration folder and select a JSON file.
3. Check the displayed JSON file content.
4. Select a .cs file from the RunTimeGenerated folder.
5. Check the displayed C# file content.","1. Smart Code Generator page should open successfully.
2. JSON file should open successfully.
3. Correct JSON content should be displayed.
4. C# file should open successfully.
5. Correct C# file content should be displayed.",
TC ID - 105,Check whether Project Explorer remains usable after switching to another application section.,"1. Click on Smart Automation Code.
2. Expand the project folders in Project Explorer.
3. Click on another application section.
4. Return to Smart Automation Code.
5. Check the Project Explorer and project structure.","1. Smart Code Generator page should open successfully.
2. Project folders should expand correctly.
3. Switching to another section should work successfully.
4. Smart Automation Code should open correctly.
5. Project Explorer should load without errors or incorrect data.",
TC ID - 106,Check whether Configuration files display the correct JSON file extension.,"1. Click on Smart Automation Code.
2. Locate the BraceLink project in Project Explorer.
3. Expand the Configuration folder.
4. Review the displayed configuration file names.
5. Check the file extensions of the listed files.","1. Smart Code Generator page should open successfully.
2. BraceLink project should be displayed correctly.
3. Configuration folder should expand successfully.
4. Configuration files should be displayed.
5. Configuration files should show the correct JSON extension.",
TC ID - 107,Check whether generated source files display the correct .cs file extension.,"1. Click on Smart Automation Code.
2. Locate the BraceLink project in Project Explorer.
3. Expand the RunTimeGenerated folder.
4. Review the generated file names displayed.
5. Check the file extensions of the generated files.","1. Smart Code Generator page should open successfully.
2. BraceLink project should be displayed correctly.
3. RunTimeGenerated folder should expand successfully.
4. Generated source files should be displayed.
5. Generated files should show the correct .cs extension.",
TC ID - 108,Verify the Smart Code Generator page opens and displays the required sections.,"1. Open the BraceLink application from the system.
 2. Navigate to the Smart Automation Code section.
 3. Open the Smart Code Generator page.
 4. Check the Project Explorer and code display area.
 5. Verify the page is loaded without UI errors.","1. The BraceLink application should open properly.
 2. The Smart Automation Code section should be available.
 3. The Smart Code Generator page should open successfully.
 4. The Project Explorer and code display area should be visible.
 5. No unexpected UI error should be displayed.",
TC ID - 109,Verify the Configuration folder can be expanded and its contents are displayed.,"1. Open the Smart Code Generator page.
 2. Locate the Configuration folder in Project Explorer.
 3. Expand the Configuration folder.
 4. Check the files displayed under the folder.
 5. Collapse and expand the folder again.","1. The Smart Code Generator page should open successfully.
 2. The Configuration folder should be visible.
 3. The folder should expand successfully.
 4. Configuration files should be displayed.
 5. The folder should expand and collapse without errors.",
TC ID - 110,Verify the available JSON configuration files are displayed correctly.,"1. Open the Smart Code Generator page.
 2. Expand the Configuration folder.
 3. Review the files listed under the folder.
 4. Verify the displayed file names.
 5. Check that the file list is readable and complete.","1. The Configuration folder should be available.
 2. The folder should expand successfully.
 3. JSON configuration files should be displayed.
 4. Expected file names should be shown correctly.
 5. No unexpected or duplicate file entries should be displayed.",
TC ID - 111,Verify the RunTimeGenerated folder can be expanded and its generated files are displayed.,"1. Open the Smart Code Generator page.
 2. Locate the RunTimeGenerated folder.
 3. Expand the folder.
 4. Review the files displayed under it.
 5. Collapse and expand the folder again.","1. The page should open successfully.
 2. The RunTimeGenerated folder should be visible.
 3. The folder should expand successfully.
 4. Generated C# files should be displayed.
 5. The folder should expand and collapse without errors.",
TC ID - 112,Verify the code display updates when different files are selected.,"1. Open the Smart Code Generator page.
 2. Select ConnectionConfig.json.
 3. Select EventMappings.json.
 4. Select AlarmEngine.cs.
 5. Check the code display after each selection.","1. The page should open successfully.
 2. ConnectionConfig.json content should be displayed.
 3. EventMappings.json content should replace the previous content.
 4. AlarmEngine.cs content should replace the JSON content.
 5. The code area should always show the currently selected file.",
TC ID - 113,Verify the code area correctly switches between configuration and generated files.,"1. Open the Smart Code Generator page.
 2. Select a configuration JSON file.
 3. Select a generated C# file.
 4. Switch back to the configuration file.
 5. Check the displayed content after each switch.","1. The page should open successfully.
 2. The selected JSON content should be displayed.
 3. The selected C# content should be displayed.
 4. The JSON content should be restored when selected again.
 5. No stale or mixed file content should be displayed.",
TC ID - 114,Verify the system handles invalid JSON configuration correctly.,"1. Open the Smart Code Generator page.
 2. Open a configuration JSON file.
 3. Introduce invalid JSON syntax in the test configuration.
 4. Perform the available code-generation operation.
 5. Check the system response and error log.","1. The configuration file should be accessible.
 2. The test configuration should contain invalid JSON.
 3. The system should detect the invalid syntax.
 4. Code generation should be rejected or stopped.
 5. A suitable error should be displayed or logged without application crash.",
TC ID - 115,Verify the system handles a missing required configuration file.,"1. Open the Smart Code Generator page.
 2. Identify a required configuration file.
 3. Make the required file unavailable in the test environment.
 4. Perform the available code-generation operation.
 5. Check the system response.","1. The page should open successfully.
 2. The required configuration file should be identified.
 3. The system should detect that the file is unavailable.
 4. Code generation should not proceed with incomplete input.
 5. An appropriate error should be displayed or logged without application crash.",
TC ID - 116,Verify the system handles an empty configuration file correctly.,"1. Open the Smart Code Generator page.
 2. Select or prepare an empty configuration file.
 3. Load the empty file in the Configuration folder.
 4. Perform the available code-generation operation.
 5. Check the generated output and system response.","1. The page should open successfully.
 2. The empty configuration file should be accessible.
 3. The system should identify that the file contains no usable data.
 4. Generation should be handled according to validation rules.
 5. The application should remain stable and should not generate invalid output.",
TC ID - 117,Verify the system handles configuration data with missing required fields.,"1. Open the Smart Code Generator page.
 2. Prepare a configuration file with required fields missing.
 3. Load the incomplete configuration file.
 4. Perform the available code-generation operation.
 5. Check the system response and generated output.","1. The page should open successfully.
 2. The incomplete configuration should be accessible.
 3. The system should detect missing required fields.
 4. Generation should be rejected or handled according to validation rules.
 5. An appropriate error should be displayed or logged and the application should remain stable.",
TC ID - 118,Verify the system can process a large valid configuration file within supported limits.,"1. Open the Smart Code Generator page.
 2. Prepare a large valid configuration file.
 3. Load the configuration file.
 4. Perform the available code-generation operation.
 5. Check processing completion and generated files.","1. The page should open successfully.
 2. The large configuration file should be accessible.
 3. The system should load the complete configuration.
 4. Code generation should complete within supported limits.
 5. Generated files should contain the expected configuration-related content without truncation.",
TC ID - 119,Verify configuration values containing supported special characters are processed correctly.,"1. Open the Smart Code Generator page.
 2. Prepare a valid configuration containing supported special characters.
 3. Load the configuration file.
 4. Perform the available code-generation operation.
 5. Review the generated output.","1. The page should open successfully.
 2. The special-character configuration should be accepted if supported.
 3. The complete configuration should be loaded.
 4. Code generation should complete without data corruption.
 5. Supported special characters should be preserved correctly in the generated output.",
TC ID - 120,Verify C# code is generated successfully using valid configuration files.,"1. Open the Smart Code Generator page.
 2. Verify the required configuration files contain valid data.
 3. Perform the available code-generation operation.
 4. Wait for generation to complete.
 5. Check the RunTimeGenerated folder.","1. The Smart Code Generator page should open successfully.
 2. Required configuration files should be valid and available.
 3. Code generation should start successfully.
 4. Generation should complete without errors.
 5. Expected C# files should be created or updated in RunTimeGenerated.",
TC ID - 121,Verify all expected generated C# files are created after successful generation.,"1. Perform code generation using valid configuration files.
 2. Open the RunTimeGenerated folder.
 3. Review the generated file list.
 4. Compare the list with the expected output.
 5. Open the generated files for verification.","1. Code generation should complete successfully.
 2. RunTimeGenerated should be accessible.
 3. Expected generated C# files should be listed.
 4. No required generated file should be missing.
 5. Generated files should open and display their source code correctly.",
TC ID - 122,Verify generated C# files contain valid syntax and expected code structures.,"1. Generate C# code using valid configuration files.
 2. Open the RunTimeGenerated folder.
 3. Select each required generated C# file.
 4. Review classes, methods, and mappings in the code.
 5. Validate the generated code using the supported validation or build process.","1. Code generation should complete successfully.
 2. Generated C# files should be available.
 3. Each file should display its source code.
 4. Expected classes, methods, and mappings should be present.
 5. The generated code should pass the supported syntax or build validation.",
TC ID - 123,Verify repeated code generation does not create unwanted duplicate files.,"1. Generate code using valid configuration files.
 2. Record the generated file list.
 3. Run the same code-generation operation again.
 4. Compare the file list before and after regeneration.
 5. Check the generated file contents.","1. The first generation should complete successfully.
 2. Generated files should be recorded.
 3. The second generation should complete without errors.
 4. No unwanted duplicate files should be created.
 5. Generated content should remain consistent with the configuration.",
TC ID - 124,Verify generated code is updated when configuration data is changed and regenerated.,"1. Generate code using an initial valid configuration.
 2. Change a supported configuration value.
 3. Run the code-generation operation again.
 4. Open the affected generated C# file.
 5. Compare the generated content with the updated configuration.","1. Initial code generation should complete successfully.
 2. The configuration change should be saved or loaded successfully.
 3. Regeneration should complete without errors.
 4. The affected generated file should be updated.
 5. The generated code should reflect the changed configuration value.",
TC ID - 125,Verify code-generation failures are handled without crashing the application.,"1. Open the Smart Code Generator page.
 2. Provide an invalid or unsupported generation condition.
 3. Perform the available code-generation operation.
 4. Observe the application response and logs.
 5. Verify the Smart Code Generator remains accessible.","1. The Smart Code Generator page should open successfully.
 2. The invalid condition should be detected.
 3. Generation should fail safely.
 4. An appropriate error should be displayed or logged.
 5. The application should remain stable and responsive.",
TC ID - 126,Verify the application remains responsive while processing and generating code.,"1. Open the Smart Code Generator page.
 2. Load a valid configuration set suitable for generation.
 3. Start the available code-generation operation.
 4. Observe the application during processing.
 5. Check the application after generation completes.","1. The Smart Code Generator page should open successfully.
 2. The valid configuration should load successfully.
 3. Code generation should start normally.
 4. The application should remain responsive without unexpected crash.
 5. The page should remain usable after generation completes.",
TC ID - 127,Verify generated files consistently match the configured input data after generation.,"1. Open the Smart Code Generator page.
 2. Load valid configuration files.
 3. Perform the code-generation operation.
 4. Review the generated C# files.
 5. Compare generated content with the corresponding configuration data.","1. The configuration files should load successfully.
 2. The input data should be valid and complete.
 3. Code generation should complete successfully.
 4. Generated C# files should be available and readable.
 5. Generated output should consistently correspond to the configured input data.",
TC ID - 128,Verify the Edit button is available when a configuration file is selected.,"1. Open the BraceLink application from the system.
 2. Navigate to the Smart Automation Code section.
 3. Select PayloadDefinitions.json from the Configuration folder.
 4. Check the file content displayed in the code area.
 5. Verify the Edit button is available.","1. The BraceLink application should open properly.
 2. The Smart Automation Code section should be available.
 3. PayloadDefinitions.json should be selected successfully.
 4. The file content should be displayed correctly.
 5. The Edit button should be visible and available for the selected file.",
TC ID - 129,Verify the selected configuration file can be edited using the Edit button.,"1. Open the Smart Code Generator page.
 2. Select PayloadDefinitions.json from the Configuration folder.
 3. Click the Edit button.
 4. Modify an existing configuration value.
 5. Check whether the modified content can be entered in the code area.","1. The Smart Code Generator page should open successfully.
 2. PayloadDefinitions.json should be displayed.
 3. The Edit button should enable editing mode.
 4. The configuration value should be editable.
 5. The modified content should be visible in the code area.",
TC ID - 130,Verify the Edit button behavior when a generated C# file is selected.,"1. Open the Smart Code Generator page.
 2. Expand the RunTimeGenerated folder.
 3. Select a generated C# file such as AlarmEngine.cs.
 4. Check the available file actions.
 5. Verify whether the Edit button is displayed according to the file edit rules.","1. The Smart Code Generator page should open successfully.
 2. RunTimeGenerated should be expanded.
 3. AlarmEngine.cs should be selected successfully.
 4. Available file actions should be displayed correctly.
 5. The Edit button should follow the configured edit permission for generated files.",
TC ID - 131,Verify the Clear button is available for editable file content.,"1. Open the Smart Code Generator page.
 2. Select PayloadDefinitions.json.
 3. Click the Edit button.
 4. Check the available actions in the code area.
 5. Verify the Clear button is displayed.","1. The Smart Code Generator page should open successfully.
 2. PayloadDefinitions.json content should be displayed.
 3. Edit mode should be enabled.
 4. Editing actions should be available.
 5. The Clear button should be visible and available in edit mode.",
TC ID - 132,Verify the Clear button removes the current editable content.,"1. Open the Smart Code Generator page.
 2. Select PayloadDefinitions.json and click Edit.
 3. Confirm that the file content is available in the editor.
 4. Click the Clear button.
 5. Check the code editor content.","1. The Smart Code Generator page should open successfully.
 2. The selected file should enter edit mode.
 3. The existing content should be displayed in the editor.
 4. The Clear button should remove the editable content.
 5. The code editor should become empty without closing the page.",
